month,source,pred_final,count
2021-04,The Observer,governance_oversight_failure,6
2021-04,The Observer,contract_management_failure,4
2021-04,The Observer,payment_financial_dispute,2
2021-05,The Observer,land_row_dispute,164
2021-05,The Observer,delay_time_overrun,62
2021-05,The Observer,quality_technical_defect,12
2021-05,The Observer,contract_management_failure,9
2021-05,The Observer,governance_oversight_failure,8
2021-05,The Observer,procurement_irregularity,7
2021-05,The Observer,payment_financial_dispute,6
2021-06,The Observer,land_row_dispute,61
2021-06,The Observer,delay_time_overrun,15
2021-06,The Observer,procurement_irregularity,12
2021-06,The Observer,governance_oversight_failure,8
2021-06,The Observer,quality_technical_defect,7
2021-06,The Observer,contract_management_failure,2
2021-06,The Observer,payment_financial_dispute,1
2021-07,The Observer,land_row_dispute,221
2021-07,The Observer,delay_time_overrun,54
2021-07,The Observer,procurement_irregularity,43
2021-07,The Observer,payment_financial_dispute,19
2021-07,The Observer,governance_oversight_failure,13
2021-07,The Observer,quality_technical_defect,13
2021-07,The Observer,contract_management_failure,7
2021-08,The Observer,land_row_dispute,110
2021-08,The Observer,delay_time_overrun,41
2021-08,The Observer,quality_technical_defect,15
2021-08,The Observer,governance_oversight_failure,13
2021-08,The Observer,procurement_irregularity,12
2021-08,The Observer,contract_management_failure,8
2021-08,The Observer,payment_financial_dispute,8
2021-09,The Observer,land_row_dispute,93
2021-09,The Observer,delay_time_overrun,28
2021-09,The Observer,quality_technical_defect,17
2021-09,The Observer,procurement_irregularity,12
2021-09,The Observer,payment_financial_dispute,10
2021-09,The Observer,contract_management_failure,6
2021-09,The Observer,governance_oversight_failure,5
2021-10,The Observer,land_row_dispute,123
2021-10,The Observer,delay_time_overrun,36
2021-10,The Observer,contract_management_failure,16
2021-10,The Observer,quality_technical_defect,14
2021-10,The Observer,payment_financial_dispute,13
2021-10,The Observer,procurement_irregularity,13
2021-10,The Observer,governance_oversight_failure,6
2021-11,The Observer,land_row_dispute,210
2021-11,The Observer,delay_time_overrun,38
2021-11,The Observer,procurement_irregularity,31
2021-11,The Observer,quality_technical_defect,20
2021-11,The Observer,payment_financial_dispute,14
