publication_date,title,url
2018-02-14,Police refutes reports of ACP Bakaleke’s arrest,https://observer.ug/news/police-refutes-reports-of-acp-bakaleke-s-arrest/
2018-02-20,"aYo and MTN to reward 2,500 loyal customers",https://observer.ug/business/ayo-insurance-to-reward-2-500-loyal-customers/
2018-02-24,Zimbabwe opposition fight over leadership following Tsvangarai demise,https://observer.ug/news/zimbabwe-opposition-fight-over-leadership-following-tsvangarai-demise/
2018-02-27,Botswana tells DRC President Kabila to step down,https://observer.ug/news/botswana-tells-drc-president-kabila-to-step-down/
2018-03-01,Mulago to get a second cancer machine in December,https://observer.ug/news/mulago-to-get-a-second-cancer-machine-in-december/
2018-03-09,Africa’s population explosion worries African Development Bank,https://observer.ug/business/africa-s-population-explosion-worries-african-development-bank/
2018-03-10,Zimbabwe court issues warrant to deepen Grace Mugabe PhD probe,https://observer.ug/news/zimbabwe-court-issues-warrant-to-deepen-grace-mugabe-phd-probe/
2018-03-14,How Gen Kayihura reacted to his firing,https://observer.ug/news/how-gen-kayihura-reacted-to-his-firing/
2018-03-20,Man captured on video beating 4-year-old son summoned by police,https://observer.ug/news/man-captured-on-video-beating-4-year-old-son-summoned-by-police/
2018-03-21,Hepatitis B scandal bites harder,https://observer.ug/news/hepatitis-b-scandal-bites-harder/
2018-03-22,NRM’s Matsiko thrown out of parliament as Panadol holds seat,https://observer.ug/news/nrm-s-matsiko-thrown-out-of-parliament-as-panadol-holds-seat/
2018-03-25,No fundamental problem between Uganda & Rwanda – Museveni,https://observer.ug/news/no-fundamental-problem-between-uganda-rwanda-museveni/
2018-03-28,Livingstone Sewanyana revels in new appointment as UN expert,https://observer.ug/news/livingstone-sewanyana-revels-in-new-appointment-as-un-expert/
2018-03-28,"Parliament probes into speaker Kadaga, minister Namuganza feud",https://observer.ug/news/parliament-probes-into-speaker-kadaga-minister-namuganza-feud/
2018-04-26,"Korea commits $10m towards clean water, sanitation in Karamoja",https://observer.ug/news/korea-commits-10m-towards-clean-water-sanitation-in-karamoja/
2018-05-01,India’s Tata assessing Umeme’s performance,https://observer.ug/business/india-s-tata-assessing-umeme-s-performance/
2018-05-11,"OPM to splash Shs 5bn on workshops, seminars",https://observer.ug/news/opm-to-splash-shs-5bn-on-workshops-seminars/
2018-05-20,Kadaga wants road safety included in national curriculum,https://observer.ug/news/kadaga-wants-road-safety-included-in-national-curriculum/
