publication_date,title,url
2018-11-28,Gov’t report: Ugandan boats are death traps,https://observer.ug/news/gov-t-report-ugandan-boats-are-death-traps/
2018-12-07,How Bagyenda solely sold off GTB to Dfcu,https://observer.ug/news/how-bagyenda-solely-sold-off-gtb-to-dfcu/
2019-01-10,Bobi Wine can’t oust Museveni – opposition,https://observer.ug/news/bobi-wine-can-t-oust-museveni-opposition/
2019-01-15,Murder in Mukono: police fails to arrest their own,https://observer.ug/news/murder-in-mukono-police-fails-to-arrest-its-own/
2019-01-30,"Mugagga survives sex probe, retires",https://observer.ug/news/mugagga-survives-sex-probe-retires/
2019-02-04,StanChart launches all-round banking App,https://observer.ug/business/stanchart-launches-all-round-banking-app/
2019-02-05,Egypt debates motion to extend presidential term limits,https://observer.ug/news/egypt-debates-motion-to-extend-presidential-term-limits/
2019-02-06,Shs 600m retirement paycheck too little – Gen Kasirye Gwanga,https://observer.ug/news/shs-600m-retirement-paycheck-too-little-gen-kasirye-gwanga/
2019-02-14,NSSF offers amnesty to defaulters,https://observer.ug/business/nssf-offers-amnesty-to-defaulters/
2019-03-06,How Rwanda quarrel with Uganda unfolded,https://observer.ug/news/how-rwanda-quarrel-with-uganda-unfolded/
2019-04-09,More Indonesians join cases against Boeing after CEO apology,https://observer.ug/business/more-indonesians-join-cases-against-boeing-after-ceo-apology/
2019-04-16,Lato initiative to offer free medical surgeries to disabled children,https://observer.ug/business/lato-initiative-to-offer-free-medical-surgeries-to-disabled-children/
2019-04-17,Standards regulator UNBS speaks out on Pearl salt,https://observer.ug/news/standards-regulator-unbs-speaks-out-on-pearl-salt/
2019-05-06,FDC ‘unbothered’ by poll placing Bobi Wine ahead of Besigye,https://observer.ug/news/fdc-unbothered-by-poll-placing-bobi-wine-ahead-of-besigye/
2019-05-09,Makerere wins Shs 5bn from Google to monitor urban air quality,https://observer.ug/news/makerere-wins-shs-5bn-from-google-to-monitor-urban-air-quality/
2019-05-09,New POMA regulations: spontaneous meetings to be dispersed in 20 mins,https://observer.ug/news/new-poma-regulations-spontaneous-meetings-to-be-dispersed-in-20-mins/
2019-05-16,Ministers involved in human trafficking – Kadaga,https://observer.ug/news/ministers-involved-in-human-trafficking-kadaga/
2019-05-18,Nusaf III rolls out business start-up training,https://observer.ug/business/nusaf-iii-rolls-out-business-start-up-training/
2019-05-19,Church quietly lifts veil on family planning contraceptives,https://observer.ug/news/church-of-uganda-quietly-lifts-veil-on-family-planning-contraceptives/
2019-05-22,Charcoal trade continues to escalate in Acholi,https://observer.ug/business/charcoal-trade-continues-to-escalate-in-acholi/
2019-05-26,Drones deliver medical supplies in Ghana,https://observer.ug/news/drones-deliver-medical-supplies-in-ghana/
2019-07-12,Police clears UNRA night repairs on Jinja highway,https://observer.ug/news/police-clears-unra-night-repairs-on-jinja-highway/
2019-07-18,Uganda Airlines first commercial flight now pushed to August,https://observer.ug/news/uganda-airlines-first-commercial-flight-now-pushed-to-august/
2019-08-07,Trade standards translated into Luganda to boost fish sector,https://observer.ug/business/trade-standards-translated-into-luganda-to-boost-fish-sector/
2019-09-18,Activists want details on Kenya oil contract with Chinese firm,https://observer.ug/news/activists-want-details-on-kenya-oil-contract-with-chinese-firm/
2019-09-18,"Ugandan gold miners exported 8,000kgs but declared only 16kgs",https://observer.ug/news/ugandan-gold-miners-exported-8-000kgs-but-declared-only-16kgs/
2019-09-19,NRM disowns “nailed” supporter,https://observer.ug/news/nrm-disowns-nailed-supporter/
2019-09-30,Cancer machine closed for servicing,https://observer.ug/news/cancer-machine-closed-for-servicing/
2019-10-03,Uganda Airlines plans Burundi dominance,https://observer.ug/business/uganda-airlines-plans-burundi-dominance/
2019-10-08,Museveni blasts URA for failing manufacturers,https://observer.ug/news/museveni-blasts-ura-for-failing-manufacturers/
2019-10-30,Nantaba told: You will die like Kaweesi,https://observer.ug/news/nantaba-told-you-will-die-like-kaweesi/
2019-11-13,Over 3 million Ugandan women use modern contraception,https://observer.ug/news/over-shs3m-ugandan-women-use-modern-contraception/
2019-11-13,Quality Chemicals announces losses,https://observer.ug/news/quality-chemicals-announces-losses/
2019-11-27,Uganda Embassy land in Addis Ababa grabbed,https://observer.ug/news/uganda-embassy-land-in-addis-ababa-grabbed/
2019-11-30,Black Friday: American holiday Africa has adopted,https://observer.ug/news/black-friday-american-holiday-africa-has-adopted/
2019-12-18,Maganga transforming food delivery in Kampala,https://observer.ug/business/maganga-transforming-food-delivery-in-kampala/
2019-12-21,Ethiopia launches first satellite,https://observer.ug/news/ethiopia-launches-first-satellite/
2020-01-09,Makerere distances itself from imported gowns scandal,https://observer.ug/news/makerere-distances-itself-from-imported-gowns-scandal/
2020-01-21,Buganda positioned to become a tourism hub,https://observer.ug/business/buganda-positioned-to-become-a-tourism-hub/
2020-01-21,Facelift set to transform Namanve industrial park,https://observer.ug/business/facelift-set-to-transform-namanve-industrial-park/
2020-02-08,Eng Irene Kaggwa Ssewankambo replaces Mutabazi at UCC,https://observer.ug/news/eng-irene-kaggwa-ssewankambo-replaces-mutabazi-at-ucc/
2020-02-13,Gov’t losing billions in under-utilised internet – Auditor General,https://observer.ug/news/gov-t-losing-billions-in-under-utilised-internet-auditor-general/
2020-02-26,Civil society unhappy with leakages in national budget,https://observer.ug/news/civil-society-unhappy-with-leakages-in-national-budget/
2020-03-04,S.Korean hospitals lack enough space for coronavirus patients,https://observer.ug/news/s-korean-hospitals-lack-enough-space-for-coronavirus-patients/
2020-03-17,Kabaka Mutebi cancels Kyotera tour over coronavirus,https://observer.ug/news/kabaka-mutebi-cancels-kyotera-tour-over-coronavirus/
2020-04-06,Parliament rejects Byabashaija reappointment as prisons boss,https://observer.ug/news/parliament-rejects-byabashaija-reappointment-as-prisons-boss/
2020-05-29,Suspected bomb explosion injures four in Nakaseke,https://observer.ug/news/suspected-bomb-explosion-injures-four-in-nakaseke/
2020-06-24,Sudhir defeats Bank of Uganda in court again,https://observer.ug/news/sudhir-defeats-bank-of-uganda-in-court-again/
2020-06-29,"Umeme lays out Shs 310bn to connect 300,000 consumers",https://observer.ug/business/umeme-lays-out-shs-310bn-to-connect-300-000-consumers/
2020-07-03,Here’s one way to retire with a million dollars in 30 years,https://observer.ug/business/here-s-one-way-to-retire-with-a-million-dollars-in-30-years/
2020-07-15,FDC rejects Nabilah Naggayi’s nomination forms for Lord Mayor,https://observer.ug/news/fdc-rejects-nabilah-naggayi-s-nomination-forms/
2020-07-17,Experts offer tips to overcome disruption of human resource,https://observer.ug/business/experts-offer-tips-to-overcome-disruption-of-human-resource/
2020-07-29,Court decision on salary loans could rattle financial market,https://observer.ug/business/court-decision-on-salary-loans-could-rattle-financial-market/
2020-08-12,Umeme invests Shs 56bn in Mbale city electricity network,https://observer.ug/business/umeme-invests-shs-56bn-in-mbale-city-electricity-network/
2020-09-05,"Beti Kamya, Margaret Zziwa win in NRM primaries",https://observer.ug/news/beti-kamya-margaret-zziwa-win-in-nrm-primaries/
2020-09-08,Namboole starts admitting COVID-19 patients today,https://observer.ug/news/namboole-starts-receiving-covid-19-patients-today/
2020-09-10,Tumukunde ‘itching’ to cross-examine CID boss Grace Akullo,https://observer.ug/news/tumukunde-itching-to-cross-examine-cid-boss-grace-akullo/
2020-09-10,Who will win Uganda Law Society presidency?,https://observer.ug/news/who-will-win-uganda-law-society-presidency/
2020-10-05,Gov’t to close COVID-19 quarantine centres,https://observer.ug/news/gov-t-to-close-covid-19-quarantine-centres/
2020-11-02,Principal judge ‘rejects’ bribe offer in Ham-DTB appeal case,https://observer.ug/news/principal-judge-rejects-bribe-offer-in-ham-dtb-appeal-case/
2020-11-09,Kiira Motors shouldn’t be selfish with Hightower,https://observer.ug/business/kiira-motors-shouldn-t-be-selfish-with-hightower/
2020-12-02,"Candidates under army, police siege",https://observer.ug/news/candidates-under-army-police-siege/
2020-12-09,Manufacturers predict doom for Uganda over Kenya trade barriers,https://observer.ug/business/manufacturers-predict-doom-for-uganda-over-kenya-trade-barriers/
2020-12-27,Winnie Byanyima disassociates self from NRM campaign advert,https://observer.ug/news/winnie-byanyima-disassociates-from-nrm-campaign-advert/
2020-12-29,Government should pay its debts to the private sector,https://observer.ug/business/government-should-pay-its-debts-to-the-private-sector/
2021-01-13,Bobi Wine projects 80% poll win,https://observer.ug/news/bobi-wine-projects-80-poll-win/
2021-01-22,Brutality on Bobi cost us in Buganda – defeated ministers,https://observer.ug/news/brutality-on-bobi-cost-us-in-buganda-defeated-ministers/
2021-02-17,Covid-19 report rates govt interventions,https://observer.ug/news/covid-19-report-rates-govt-interventions/
2021-02-18,Makerere University professor Kerali found dead in his bedroom,https://observer.ug/news/makerere-university-professor-kerali-found-dead-in-his-bedroom/
2021-03-04,Will KCCA’s new infrastructure campaign solve mess in the city?,https://observer.ug/news/will-kcca-s-new-infrastructure-campaign-solve-mess-in-the-city/
2021-03-13,"Cement, sugar to implement Digital Tax Stamps in April",https://observer.ug/business/cement-sugar-to-implement-digital-tax-stamps-in-april/
2021-04-05,DPF reports seamless progress despite limitations of Covid-19,https://observer.ug/business/dpf-reports-seamless-progress-despite-limitations-of-covid-19/
2021-04-06,When world’s largest plastic dhow sailed on Lake Victoria,https://observer.ug/news/when-world-s-largest-plastic-dhow-sailed-on-lake-victoria/
2021-04-21,Electricity: Uganda’s hydropower remains key to charging low prices,https://observer.ug/business/electricity-uganda-s-hydropower-remains-key-to-charging-low-prices/
2021-04-28,Gangsters planted in Bobi Wine camp – bodyguard,https://observer.ug/news/gangsters-planted-in-bobi-wine-camp-bodyguard/
2021-05-11,Ex-champ Juuko barred from family property,https://observer.ug/news/ex-champ-juuko-barred-from-family-property/
2021-05-19,Allianz acquires majority stake in Jubilee Insurance,https://observer.ug/business/allianz-acquires-majority-stake-in-jubilee-insurance/
2021-06-02,Pakistani TV bans host of talk show after he criticized army,https://observer.ug/news/pakistani-tv-bans-host-of-talk-show-after-he-criticized-army/
2021-06-18,New internet tax to trap VPN users – govt,https://observer.ug/news/new-internet-tax-to-trap-vpn-users-govt/
2021-07-15,"Museveni appoints Kamya IGG, Ggoobi new Finance PS",https://observer.ug/news/museveni-appoints-kamya-igg-ggoobi-new-finance-ps/
2021-08-07,Enimiro Online connecting consumers to garden-fresh food supplies,https://observer.ug/business/enimiro-online-connecting-consumers-to-garden-fresh-food-supplies/
2021-08-09,Court fines govt Shs 75m for torturing MP Zaake,https://observer.ug/news/mp-zaake-awarded-shs-75m-for-torture/
2021-08-24,Can Tumwebaze’s energy reignite Uganda’s backbone of agriculture?,https://observer.ug/business/can-tumwebaze-s-energy-reignite-uganda-s-backbone-of-agriculture/
2021-09-23,"Museveni gives NGO GiveDirectly ‘second chance’, to distribute Shs 106bn cash",https://observer.ug/news/museveni-gives-ngo-givedirectly-second-chance-to-distribute-shs-106bn-cash/
2021-09-28,Disentangling landlord from tenant in mailo land reforms,https://observer.ug/business/disentangling-landlord-from-tenant-in-mailo-land-reforms/
2021-10-05,No-bail law will bite you too,https://observer.ug/news/no-bail-law-will-bite-you-too/
2021-10-11,Controversy as KCCA disburses Shs 99m to “volunteer” city cleaners,https://observer.ug/news/controversy-as-kcca-disburses-shs-99m-to-volunteer-city-cleaners/
2021-10-24,"Clerk to parliament, director of clerks in standoff over breach of protocol",https://observer.ug/news/clerk-to-parliament-director-of-clerks-in-standoff-over-breach-of-protocol/
2021-10-26,Anti-Counterfeit body lobbies for strict laws on agriculture inputs,https://observer.ug/news/anti-counterfeit-body-lobbies-for-strict-laws-on-agriculture-inputs/
2021-10-28,"UNRA road workers lay down tools over unpaid salaries, working conditions",https://observer.ug/news/unra-road-workers-lay-down-tools-over-unpaid-salaries-working-conditions/
