actor,driver,region,sector
Parliament,governance_oversight_failure,Central,Buildings/Housing
President Museveni,governance_oversight_failure,Central,Buildings/Housing
KCCA,land_row_dispute,Central,Land/Urban
URA,land_row_dispute,Central,Land/Urban
Government,land_row_dispute,Central,Land/Urban
Ministry of Education,land_row_dispute,Central,Land/Urban
Ministry of Finance,land_row_dispute,Central,Land/Urban
President Museveni,land_row_dispute,Central,Land/Urban
Government,land_row_dispute,Central,Roads/Transport
Ministry of Works,land_row_dispute,Central,Roads/Transport
Government,land_row_dispute,Cross-border,Roads/Transport
Ministry of Works,land_row_dispute,Cross-border,Roads/Transport
President Museveni,land_row_dispute,Cross-border,Roads/Transport
Government,land_row_dispute,Central,Roads/Transport
KCCA,land_row_dispute,Central,Roads/Transport
URA,land_row_dispute,Central,Roads/Transport
Government,contract_management_failure,Central,Buildings/Housing
IGG,contract_management_failure,Central,Buildings/Housing
NSSF,contract_management_failure,Central,Buildings/Housing
Parliament,contract_management_failure,Central,Buildings/Housing
President Museveni,contract_management_failure,Central,Buildings/Housing
Government,land_row_dispute,Cross-border,Roads/Transport
Government,procurement_irregularity,Central,Buildings/Housing
Ministry of Finance,procurement_irregularity,Central,Buildings/Housing
Ministry of Health,procurement_irregularity,Central,Buildings/Housing
KCCA,land_row_dispute,National Corridor,Land/Urban
EACOP,land_row_dispute,Eastern,Roads/Transport
Government,land_row_dispute,Eastern,Roads/Transport
Parliament,land_row_dispute,Northern/Eastern,Water/Sanitation
UEGCL,delay_time_overrun,Northern,Energy
Umeme,delay_time_overrun,Northern,Energy
Umeme/ERA,delay_time_overrun,Northern,Energy
Government,delay_time_overrun,Eastern,Energy
Umeme/ERA,delay_time_overrun,Eastern,Energy
World Bank,delay_time_overrun,Eastern,Energy
Court,land_row_dispute,Central,Water/Sanitation
Government,land_row_dispute,Western,Energy
Ministry of Energy,land_row_dispute,Western,Energy
Ministry of Finance,land_row_dispute,Western,Energy
UEGCL,land_row_dispute,Western,Energy
Court,land_row_dispute,Central,Roads/Transport
Government,land_row_dispute,Central,Roads/Transport
NEMA,land_row_dispute,Central,Roads/Transport
President Museveni,land_row_dispute,Central,Roads/Transport
